업종,당월,전년동월
통신판매업,592016,517586
한식음식점,410505,409764
부동산중개업,147027,148318
미용실,112648,110666
커피음료점,96386,91845
옷가게,86617,88030
실내장식가게,80973,76169
교습학원,63646,61417
피부관리업,60796,54126
교습소ㆍ공부방,54144,49097
분식점,53694,55094
편의점,53426,50995
식료품가게,48211,48944
패스트푸드점,48150,47838
자동차수리점,47877,47282
화장품가게,39040,39140
스포츠교육기관,33894,31375
예술학원,33437,32891
기타외국식음식점,31213,29962
중식음식점,28980,27663
꽃가게,27830,26913
슈퍼마켓,27669,28350
펜션ㆍ게스트하우스,26932,22882
노래방,26734,27379
세탁소,25556,25393
호프주점,25156,26356
약국,24620,24179
제과점,22458,21831
